"","Taxon","Year","Appendix","Class","Order","Family","Genus","RankName"
"1255","Passer griseus",2015,"Not listed","Aves","Passeriformes","Ploceidae","Passer","SPECIES"
"1256","Passer griseus",2016,"Not listed","Aves","Passeriformes","Ploceidae","Passer","SPECIES"
"1257","Passer griseus",2017,"Not listed","Aves","Passeriformes","Ploceidae","Passer","SPECIES"
"1258","Passer griseus",2018,"Not listed","Aves","Passeriformes","Ploceidae","Passer","SPECIES"
"1259","Passer griseus",2019,"Not listed","Aves","Passeriformes","Ploceidae","Passer","SPECIES"
"1260","Passer griseus",2020,"Not listed","Aves","Passeriformes","Ploceidae","Passer","SPECIES"
"1261","Pholidornis rushiae",2000,"III","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1262","Pholidornis rushiae",2001,"III","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1263","Pholidornis rushiae",2002,"III","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1264","Pholidornis rushiae",2003,"III","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1265","Pholidornis rushiae",2004,"III","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1266","Pholidornis rushiae",2005,"III","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1267","Pholidornis rushiae",2006,"III","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1268","Pholidornis rushiae",2007,"Not listed","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1269","Pholidornis rushiae",2008,"Not listed","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1270","Pholidornis rushiae",2009,"Not listed","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1271","Pholidornis rushiae",2010,"Not listed","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1272","Pholidornis rushiae",2011,"Not listed","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1273","Pholidornis rushiae",2012,"Not listed","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1274","Pholidornis rushiae",2013,"Not listed","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1275","Pholidornis rushiae",2014,"Not listed","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1276","Pholidornis rushiae",2015,"Not listed","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1277","Pholidornis rushiae",2016,"Not listed","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1278","Pholidornis rushiae",2017,"Not listed","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1279","Pholidornis rushiae",2018,"Not listed","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1280","Pholidornis rushiae",2019,"Not listed","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1281","Pholidornis rushiae",2020,"Not listed","Aves","Passeriformes","Estrildidae","Pholidornis","SPECIES"
"1282","Picathartes gymnocephalus",2000,"I","Aves","Passeriformes","Muscicapidae","Picathartes","SPECIES"
"1283","Picathartes gymnocephalus",2001,"I","Aves","Passeriformes","Muscicapidae","Picathartes","SPECIES"
"1284","Picathartes gymnocephalus",2002,"I","Aves","Passeriformes","Muscicapidae","Picathartes","SPECIES"
"1285","Picathartes gymnocephalus",2003,"I","Aves","Passeriformes","Muscicapidae","Picathartes","SPECIES"
"1286","Picathartes gymnocephalus",2004,"I","Aves","Passeriformes","Muscicapidae","Picathartes","SPECIES"
"1287","Picathartes gymnocephalus",2005,"I","Aves","Passeriformes","Muscicapidae","Picathartes","SPECIES"
"1288","Picathartes gymnocephalus",2006,"I","Aves","Passeriformes","Muscicapidae","Picathartes","SPECIES"
"1289","Picathartes gymnocephalus",2007,"I","Aves","Passeriformes","Muscicapidae","Picathartes","SPECIES"
"1290","Picathartes gymnocephalus",2008,"I","Aves","Passeriformes","Muscicapidae","Picathartes","SPECIES"
"1291","Picathartes gymnocephalus",2009,"I","Aves","Passeriformes","Muscicapidae","Picathartes","SPECIES"
"1292","Picathartes gymnocephalus",2010,"I","Aves","Passeriformes","Muscicapidae","Picathartes","SPECIES"
